# num_gen, best, avg
347 31868.2 57259.6
348 31868.2 57838.1
349 31868.2 57968.2
350 31868.2 56075.5
351 31868.2 55289.8
352 31868.2 54857.1
353 31868.2 53416
354 31868.2 54131.2
355 31868.2 54395
356 31868.2 54648.3
357 31868.2 53968.6
358 31868.2 54038.4
359 31868.2 53944.7
360 31868.2 54527.5
361 31868.2 55282.7
362 31868.2 55692.8
363 31868.2 55220.3
364 31868.2 54231.2
365 31868.2 54614.9
366 31868.2 54794.2
367 31868.2 55624.6
368 31868.2 54894.6
369 31868.2 55631.8
370 31868.2 54589.4
371 31868.2 54340.1
372 31868.2 52551.2
373 31868.2 52438.8
374 31868.2 51734.3
375 31868.2 50348.8
376 31868.2 50696.9
377 31868.2 52619.1
378 31868.2 53423
379 31868.2 52406.4
380 31868.2 53522.1
381 31868.2 55663.2
382 31868.2 56146.4
383 31868.2 57461.4
384 31868.2 57045.4
385 31868.2 56615.1
386 31868.2 57675.8
387 31868.2 58278.2
388 31868.2 57545.2
389 31868.2 57923
390 31868.2 58845.7
391 31868.2 56312.6
392 31868.2 55032.8
393 31868.2 57452
394 31868.2 57664.9
395 31868.2 57649.1
396 31868.2 57177.8
397 31868.2 56177.2
398 31868.2 57299
399 31868.2 57485
400 31868.2 57020.9
401 31868.2 57776.3
402 31868.2 57010
403 31868.2 57042.2
404 31868.2 56987.9
405 31868.2 56415.6
406 31868.2 54932.5
407 31868.2 56029.7
408 31868.2 54698.6
409 31868.2 53646.7
410 31868.2 53308.3
411 31868.2 54378.8
412 31868.2 54263.3
413 31868.2 55079.6
414 31868.2 54671
415 31868.2 55732.9
416 31868.2 55213.5
417 31868.2 56716.2
418 31868.2 56771.1
419 31868.2 58425.5
420 31868.2 58503.9
421 31868.2 58587.4
422 31868.2 57674.6
423 31868.2 57384.9
424 31868.2 58476.4
425 31868.2 57795.2
426 31868.2 58191.3
427 31868.2 57578
428 31868.2 56604.1
429 31868.2 56054.7
430 31868.2 55339.1
431 31868.2 54802.9
432 31868.2 54975.1
433 31868.2 55831.2
434 31868.2 56694.8
435 31868.2 57083.1
436 31868.2 56964.7
437 31868.2 58029.2
438 31868.2 58498.4
439 31868.2 58435.3
440 31868.2 58533.3
441 31868.2 57520
442 31868.2 57110.9
443 31868.2 57809.2
444 31868.2 57862.4
445 31857 58465.2
446 31857 58869
447 31857 57649.4
448 31857 57476.4
449 31857 58052
450 31857 59261.8
451 31857 57334.4
452 31857 55285.4
453 31857 56308.1
454 31857 55719.7
455 31857 56299.4
456 31857 55629.9
457 31857 53303
458 31857 53257.4
459 31857 52999.7
460 31857 53228.9
461 31857 53298.5
462 31857 53841.5
463 31857 53893.7
464 31857 54699
465 31857 55811
466 31857 55478.3
467 31857 54908.5
468 31857 54362.1
469 31857 54473.7
470 31857 54485
471 31857 55524.5
472 31857 54619.8
473 31857 56298.9
474 31857 55052.1
475 31857 54557.7
476 31857 54285.7
477 31857 55735.7
478 31857 54565.9
479 31857 54049.6
480 31857 54596.2
481 31857 53157.8
482 31857 52581.3
483 31857 50517.6
484 31857 50332
485 31857 50530.2
